dt,India,Japan,Netherlands,World
1971-07-01,-0.421,0.474,0.79,0.003
1971-08-01,-0.352,-0.405,0.899,-0.067
1971-09-01,0.024,-0.729,-0.76,0.008
1971-10-01,-0.305,-0.853,0.271,-0.115
1971-11-01,-0.59,-0.085,-0.49,-0.04
1971-12-01,-0.336,0.158,2.29,0.128
1972-01-01,0.04,2.046,-1.412,-0.994
1972-02-01,-1.69,0.684,1.536,-1.306
1972-03-01,0.144,0.607,1.613,-0.172
1972-04-01,-0.493,-0.028,-0.179,-0.125
1972-05-01,0.337,-0.041,-0.245,-0.048
1972-06-01,1.109,0.099,-1.412,0.169
1972-07-01,0.629,0.063,0.723,0.101
1972-08-01,0.208,-0.19,-0.774,-0.001
1972-09-01,0.086,-0.484,-2.31,-0.149
1972-10-01,-0.031,0.206,-1.396,-0.04
1972-11-01,0.163,-0.292,0.14,0.098
1972-12-01,0.697,0.597,0.539,-0.124
1973-01-01,0.607,1.698,0.874,0.23
1973-02-01,1.149,1.584,0.711,0.965
1973-03-01,0.264,-0.583,0.688,0.712
1973-04-01,1.473,1.373,-1.81,0.447
1973-05-01,0.545,-0.193,0.313,0.299
1973-06-01,0.026,-0.49,0.939,0.403
1973-07-01,0.1,0.69,0.641,0.34
1973-08-01,-0.111,1.061,1.393,0.179
1973-09-01,-0.014,-0.39,0.927,-0.051
1973-10-01,-0.2,-0.283,-1.302,0.159
1973-11-01,-0.428,-0.988,-0.428,-0.265
1973-12-01,-0.602,-1.721,-0.399,-0.093
1974-01-01,-0.174,-0.183,3.564,-0.495
1974-02-01,-0.398,-0.291,2.61,-0.427
1974-03-01,0.915,-0.815,1.38,0.018
1974-04-01,0.677,0.13,0.981,-0.167
1974-05-01,-0.417,0.291,-0.605,-0.107
1974-06-01,-0.233,-0.311,-0.629,-0.105
1974-07-01,-0.024,-0.985,-1.307,-0.166
1974-08-01,0.22,0.005,0.323,-0.239
1974-09-01,0.399,-0.644,-0.656,-0.326
1974-10-01,0.236,-0.036,-3.254,-0.174
1974-11-01,-0.431,-1.136,0.813,0.106
1974-12-01,-0.888,-0.972,3.799,-0.245
1975-01-01,-0.786,-0.132,4.705,0.368
1975-02-01,-0.226,-0.773,1.46,0.101
1975-03-01,-0.225,-0.399,0.019,0.21
1975-04-01,0.55,0.42,-0.384,0.247
1975-05-01,0.485,-0.266,-0.793,0.266
1975-06-01,-0.38,0.184,-0.333,0.24
1975-07-01,-0.589,0.136,1.399,0.237
1975-08-01,-0.11,0.2,3.087,0.062
1975-09-01,-0.61,1.406,1.487,0.3
1975-10-01,0.26,0.333,-1.425,-0.193
1975-11-01,-1.279,0.393,-0.556,-0.514
1975-12-01,-0.687,-0.884,0.151,-0.329
1976-01-01,-0.157,-0.367,1.907,0.129
1976-02-01,0.098,1.491,0.51,-0.447
1976-03-01,0.174,0.109,-1.702,-0.865
1976-04-01,-0.496,-0.321,-0.403,-0.032
1976-05-01,-0.329,-0.062,1.078,-0.196
1976-06-01,-0.559,-0.181,2.242,-0.354
1976-07-01,-0.074,-1.009,2.659,-0.191
1976-08-01,-0.441,-1.175,0.779,-0.193
1976-09-01,-0.235,-1.48,-0.256,-0.146
1976-10-01,0.718,-0.535,0.927,-0.687
1976-11-01,1.709,-1.599,0.63,-0.421
1976-12-01,0.619,-0.768,-1.959,-0.098
1977-01-01,0.043,-2.108,0.74,-0.545
1977-02-01,0.6,-1.784,2.584,0.782
1977-03-01,1.38,0.566,2.307,0.965
1977-04-01,-0.375,0.228,-1.548,0.442
1977-05-01,-1.165,-0.33,-0.42,0.239
1977-06-01,-0.425,-0.044,-0.491,0.358
1977-07-01,-0.38,0.707,-0.111,0.171
1977-08-01,0.003,-0.891,-0.385,0.103
1977-09-01,-0.131,0.588,-1.057,0.17
1977-10-01,0.17,0.843,1.417,0.123
1977-11-01,1.366,1.193,0.816,0.548
1977-12-01,0.351,1.004,1.518,-0.025
1978-01-01,-0.279,0.255,0.955,0.116
1978-02-01,-0.538,-1.791,-1.493,0.166
1978-03-01,-1.102,-0.401,1.396,0.369
1978-04-01,-0.17,-0.541,-0.86,0.174
1978-05-01,0.744,0.268,-0.025,0.016
1978-06-01,-0.588,1.258,-0.319,-0.242
1978-07-01,-0.691,1.982,-1.254,-0.004
1978-08-01,-0.361,0.978,-1.095,-0.257
1978-09-01,-0.284,0.13,-0.775,0.013
1978-10-01,0.233,-0.356,0.57,-0.039
1978-11-01,0.707,0.051,0.523,-0.239
1978-12-01,0.162,0.783,-0.931,0.159
1979-01-01,0.627,1.278,-4.78,0.377
1979-02-01,-0.669,2.024,-2.896,-0.119
1979-03-01,-0.637,0.308,-0.25,0.434
1979-04-01,0.207,-0.739,-0.499,0.086
1979-05-01,-0.279,-0.862,-0.109,0.059
1979-06-01,0.749,1.366,0.436,0.18
1979-07-01,0.493,-0.568,-0.84,0.06
1979-08-01,0.26,0.243,-0.931,0.29
1979-09-01,0.35,0.255,-0.222,0.267
1979-10-01,0.644,1.11,0.36,0.523
1979-11-01,1.46,0.344,-0.252,0.381
1979-12-01,0.617,1.433,2.397,0.849
1980-01-01,0.481,0.319,-1.701,0.089
1980-02-01,0.735,-1.413,2.317,0.216
1980-03-01,-0.038,0.026,-0.023,0.0
1980-04-01,1.098,-1.013,-0.37,0.575
1980-05-01,0.815,0.148,-0.778,0.434
1980-06-01,-0.556,1.262,-0.331,0.28
1980-07-01,-0.148,-1.03,-1.14,0.316
1980-08-01,0.022,-1.912,0.494,0.165
1980-09-01,0.471,-0.603,1.212,0.075
1980-10-01,0.563,-0.117,-1.069,0.22
1980-11-01,0.548,0.523,-0.934,0.739
1980-12-01,0.334,-0.926,0.039,0.252
1981-01-01,-0.003,-1.395,0.068,1.082
1981-02-01,0.513,-0.424,-0.825,0.961
1981-03-01,-0.438,0.125,3.22,1.126
1981-04-01,-0.057,-0.127,0.525,0.385
1981-05-01,-0.085,-1.06,1.364,0.254
1981-06-01,0.527,-0.493,-0.344,0.17
1981-07-01,-0.156,0.77,-0.179,0.216
1981-08-01,0.129,-0.455,0.241,0.245
1981-09-01,0.179,-1.12,0.816,0.23
1981-10-01,0.165,-0.562,-1.459,0.143
1981-11-01,-0.632,-1.937,0.567,0.207
1981-12-01,-0.209,-0.206,-3.495,0.735
1982-01-01,0.631,-0.14,-1.095,0.102
1982-02-01,-0.447,-0.474,0.521,-0.213
1982-03-01,-1.088,0.941,0.639,0.005
1982-04-01,-0.633,-0.531,-0.265,0.096
1982-05-01,-0.966,1.022,0.514,0.159
1982-06-01,0.093,-0.488,1.201,-0.137
1982-07-01,0.89,-1.272,1.868,0.13
1982-08-01,0.064,-0.074,0.823,0.103
1982-09-01,0.285,-0.745,2.113,0.224
1982-10-01,0.468,0.243,0.732,0.069
1982-11-01,0.112,1.113,2.032,-0.343
1982-12-01,0.475,0.597,0.575,0.298
1983-01-01,-0.295,0.799,3.97,0.672
1983-02-01,-0.586,-0.688,-1.649,0.632
1983-03-01,-0.352,0.025,0.862,0.392
1983-04-01,-1.269,1.991,0.823,0.454
1983-05-01,-0.477,0.547,-0.88,0.535
1983-06-01,0.53,-1.078,0.945,0.125
1983-07-01,0.46,-1.108,3.221,0.484
1983-08-01,0.203,0.573,1.853,0.496
1983-09-01,0.021,0.546,0.298,0.462
1983-10-01,-0.463,-0.351,0.163,0.169
1983-11-01,-0.729,-0.688,0.265,0.7
1983-12-01,-0.36,-1.305,0.314,-0.069
