dt,India,Japan,Netherlands,World
2008-05-01,-0.095,0.361,3.05,0.82
2008-06-01,-1.068,0.132,1.343,0.804
2008-07-01,0.27,1.138,1.492,0.891
2008-08-01,0.106,-0.03,1.072,0.811
2008-09-01,0.411,0.851,-0.556,0.701
2008-10-01,0.723,1.368,-0.095,1.289
2008-11-01,0.905,0.201,0.971,1.333
2008-12-01,1.754,1.116,-0.512,0.809
2009-01-01,1.584,1.317,-1.19,1.086
2009-02-01,1.657,2.357,0.866,1.115
2009-03-01,1.062,1.32,1.152,0.988
2009-04-01,0.85,0.592,4.288,1.106
2009-05-01,0.388,0.976,1.641,0.801
2009-06-01,1.188,0.694,0.189,0.828
2009-07-01,0.705,-0.147,1.559,0.741
2009-08-01,1.119,-0.27,2.082,0.959
2009-09-01,1.057,0.182,1.232,1.204
2009-10-01,0.381,0.715,-0.193,0.9
2009-11-01,0.674,0.649,3.468,1.06
2009-12-01,1.059,0.326,-0.811,0.61
2010-01-01,0.209,1.117,-2.831,1.092
2010-02-01,0.982,1.578,-0.859,1.287
2010-03-01,2.192,0.837,1.146,1.574
2010-04-01,1.99,-0.904,1.497,1.534
2010-05-01,1.052,-0.129,-1.49,1.271
2010-06-01,0.81,1.295,1.097,1.227
2010-07-01,0.558,1.223,3.488,1.235
2010-08-01,0.642,2.134,0.395,1.108
2010-09-01,0.301,1.76,-0.543,0.94
2010-10-01,0.916,1.338,-0.013,1.198
2010-11-01,1.49,0.335,0.021,1.664
2010-12-01,0.009,0.944,-4.797,0.635
2011-01-01,-0.435,-1.158,1.462,0.7
2011-02-01,0.354,1.639,1.839,0.56
2011-03-01,0.57,-0.566,1.439,1.007
2011-04-01,-0.491,-0.323,4.712,1.243
2011-05-01,0.253,-0.045,2.041,0.856
2011-06-01,-0.427,1.159,1.167,1.046
2011-07-01,0.442,0.933,-0.461,1.06
2011-08-01,0.349,0.621,0.849,1.033
2011-09-01,0.287,1.076,1.802,1.023
2011-10-01,0.707,0.8,1.169,1.186
2011-11-01,1.209,1.904,1.52,0.741
2011-12-01,0.729,-0.504,2.851,1.054
2012-01-01,-0.252,-0.167,2.731,0.654
2012-02-01,0.023,-0.527,-1.695,0.491
2012-03-01,0.269,0.388,3.378,0.892
2012-04-01,0.203,0.344,0.544,1.552
2012-05-01,0.65,0.451,2.16,1.397
2012-06-01,1.105,0.136,-0.182,1.313
2012-07-01,0.666,0.578,0.616,1.083
2012-08-01,0.317,1.14,2.102,1.043
2012-09-01,0.324,1.949,0.06,1.14
2012-10-01,0.105,0.868,0.172,1.144
2012-11-01,0.226,-0.199,0.955,1.204
2012-12-01,0.827,-1.095,1.265,0.298
2013-01-01,0.009,-0.258,0.164,1.131
2013-02-01,0.496,0.41,-0.726,1.305
2013-03-01,0.56,1.81,-2.802,1.109
2013-04-01,0.085,-0.241,0.372,0.901
2013-05-01,0.775,0.169,-0.358,1.185
2013-06-01,-0.61,1.1,0.131,1.18
2013-07-01,-0.014,1.205,2.422,0.882
2013-08-01,0.166,1.3,1.629,0.856
2013-09-01,0.778,0.957,0.316,0.883
2013-10-01,0.391,1.743,1.913,1.032
2013-11-01,0.222,0.073,0.732,1.492
2013-12-01,0.375,0.088,2.751,1.057
2014-01-01,0.19,0.569,3.363,1.174
2014-02-01,-0.459,0.533,4.254,0.555
2014-03-01,-0.361,0.939,3.693,1.429
2014-04-01,0.261,0.172,3.935,1.459
2014-05-01,-0.224,0.841,1.144,1.227
2014-06-01,1.424,0.968,0.991,1.06
2014-07-01,0.935,0.752,3.173,0.863
2014-08-01,0.833,-0.159,-0.108,1.069
2014-09-01,0.385,-0.067,1.921,0.903
2014-10-01,0.696,0.592,3.158,1.065
2014-11-01,0.976,1.153,2.426,0.761
2014-12-01,0.035,-1.018,1.52,1.342
2015-01-01,-0.073,1.329,2.149,1.529
2015-02-01,0.97,1.258,1.103,1.657
2015-03-01,-0.186,1.865,1.491,1.719
2015-04-01,-0.505,1.446,0.993,1.225
2015-05-01,0.64,1.821,0.226,1.389
2015-06-01,0.04,0.51,0.27,1.362
2015-07-01,0.844,0.463,2.004,1.123
2015-08-01,0.903,0.118,2.377,1.262
2015-09-01,1.255,-0.162,-0.399,1.324
2015-10-01,1.368,0.169,-0.164,1.546
2015-11-01,1.617,1.949,3.783,1.544
2015-12-01,1.231,1.912,6.179,2.058
2016-01-01,1.1,1.243,2.195,1.813
2016-02-01,1.777,1.316,2.516,2.624
2016-03-01,1.607,1.801,0.657,2.568
2016-04-01,1.67,1.678,0.698,2.046
2016-05-01,0.581,2.048,2.223,1.382
2016-06-01,0.663,0.892,1.773,1.335
2016-07-01,0.275,0.663,1.859,1.294
2016-08-01,0.72,1.299,1.488,1.45
2016-09-01,0.555,1.47,3.853,1.408
2016-10-01,0.816,1.43,-0.27,0.998
2016-11-01,0.73,-0.095,-0.073,1.11
2016-12-01,1.342,1.255,1.842,1.246
2017-01-01,0.786,1.014,-0.365,1.758
2017-02-01,1.286,1.081,2.811,1.944
2017-03-01,0.592,0.495,3.968,2.014
2017-04-01,1.198,1.022,0.45,1.468
2017-05-01,0.842,1.493,2.693,1.29
2017-06-01,0.173,-0.06,2.765,1.235
2017-07-01,0.363,1.823,1.61,1.259
2017-08-01,0.838,0.473,1.023,1.301
2017-09-01,1.023,0.113,0.026,1.322
2017-10-01,1.26,0.61,2.61,1.206
2017-11-01,0.694,-0.071,1.231,1.235
2017-12-01,0.987,-0.966,1.702,1.629
2018-01-01,0.527,0.402,3.647,1.349
2018-02-01,1.29,-0.357,-1.461,1.315
2018-03-01,1.395,2.497,-0.417,1.652
2018-04-01,0.654,1.846,4.216,1.367
2018-05-01,0.61,1.222,4.182,1.286
2018-06-01,0.429,0.95,2.307,1.107
2018-07-01,0.428,1.616,3.962,1.311
2018-08-01,0.46,0.802,2.747,1.066
2018-09-01,0.519,0.468,1.372,1.176
2018-10-01,0.803,0.926,2.042,1.383
2018-11-01,1.122,1.325,1.307,0.973
2018-12-01,0.308,0.994,2.937,1.24
2019-01-01,0.122,1.324,1.328,1.697
2019-02-01,0.392,2.052,4.436,1.341
2019-03-01,0.141,1.998,3.155,2.138
2019-04-01,1.034,0.396,2.569,1.707
2019-05-01,0.843,1.616,-0.415,1.281
2019-06-01,1.577,0.692,3.517,1.515
2019-07-01,0.954,0.148,2.392,1.207
2019-08-01,0.751,0.903,2.685,1.201
2019-09-01,0.445,1.852,0.767,1.415
2019-10-01,0.267,2.028,1.634,1.545
2019-11-01,1.389,0.718,0.7,1.392
2019-12-01,0.181,1.343,2.835,1.88
